1,Oscar Anderson,1071,3
1,Oscar Anderson,2329,5
1,Oscar Anderson,4826,4
1,Oscar Anderson,3462,4
1,Oscar Anderson,336,3
1,Oscar Anderson,4396,4
1,Oscar Anderson,1026,5
1,Oscar Anderson,563,5
1,Oscar Anderson,370,3
1,Oscar Anderson,1776,5
1,Oscar Anderson,5122,3
1,Oscar Anderson,2847,3
1,Oscar Anderson,3958,5
1,Oscar Anderson,5046,5
1,Oscar Anderson,2807,3
1,Oscar Anderson,791,4
1,Oscar Anderson,2243,4
1,Oscar Anderson,1415,5
1,Oscar Anderson,925,4
1,Oscar Anderson,804,4
1,Oscar Anderson,5076,4
1,Oscar Anderson,859,5
1,Oscar Anderson,4807,3
1,Oscar Anderson,1791,4
1,Oscar Anderson,4956,3
1,Oscar Anderson,4259,4
1,Oscar Anderson,5079,5
1,Oscar Anderson,3255,4
1,Oscar Anderson,4242,5
1,Oscar Anderson,5149,4
1,Oscar Anderson,87,3
1,Oscar Anderson,2643,4
1,Oscar Anderson,4110,5
1,Oscar Anderson,5132,4
1,Oscar Anderson,741,4
1,Oscar Anderson,1901,4
1,Oscar Anderson,3944,3
1,Oscar Anderson,1747,5
1,Oscar Anderson,2137,5
1,Oscar Anderson,1599,5
1,Oscar Anderson,1948,5
1,Oscar Anderson,3633,5
1,Oscar Anderson,3610,3
1,Oscar Anderson,5036,5
1,Oscar Anderson,507,5
1,Oscar Anderson,2374,4
1,Oscar Anderson,3877,4
1,Oscar Anderson,5055,5
1,Oscar Anderson,3560,5
1,Oscar Anderson,3631,5
1,Oscar Anderson,630,4
1,Oscar Anderson,2669,4
1,Oscar Anderson,862,5
1,Oscar Anderson,4267,5
1,Oscar Anderson,4536,4
1,Oscar Anderson,1332,5
1,Oscar Anderson,1520,5
1,Oscar Anderson,3969,3
1,Oscar Anderson,682,4
1,Oscar Anderson,3045,5
1,Oscar Anderson,1608,4
1,Oscar Anderson,5407,3
1,Oscar Anderson,3971,5
1,Oscar Anderson,5482,4
1,Oscar Anderson,4008,3
1,Oscar Anderson,4876,4
1,Oscar Anderson,1483,5
1,Oscar Anderson,3656,4
1,Oscar Anderson,3671,4
1,Oscar Anderson,5040,5
1,Oscar Anderson,2708,5
1,Oscar Anderson,2271,3
1,Oscar Anderson,712,5
1,Oscar Anderson,3835,5
1,Oscar Anderson,2346,5
1,Oscar Anderson,3074,3
1,Oscar Anderson,1203,5
1,Oscar Anderson,1025,4
1,Oscar Anderson,2455,4
1,Oscar Anderson,5176,4
1,Oscar Anderson,2072,5
1,Oscar Anderson,5134,5
1,Oscar Anderson,4624,5
1,Oscar Anderson,4082,5
1,Oscar Anderson,4406,3
1,Oscar Anderson,2087,4
1,Oscar Anderson,3037,5
1,Oscar Anderson,2217,4
1,Oscar Anderson,4611,3
1,Oscar Anderson,5010,4
1,Oscar Anderson,2602,5
1,Oscar Anderson,5185,5
1,Oscar Anderson,793,5
1,Oscar Anderson,4333,4
1,Oscar Anderson,3812,5
1,Oscar Anderson,2158,4
1,Oscar Anderson,3681,4
1,Oscar Anderson,991,4
1,Oscar Anderson,3339,5
1,Oscar Anderson,672,5
1,Oscar Anderson,3318,5
1,Oscar Anderson,3849,4
1,Oscar Anderson,2424,4
1,Oscar Anderson,2679,3
1,Oscar Anderson,5121,5
1,Oscar Anderson,4585,5
1,Oscar Anderson,631,4
1,Oscar Anderson,4772,3
1,Oscar Anderson,5189,5
1,Oscar Anderson,4340,5
1,Oscar Anderson,4411,5
1,Oscar Anderson,1549,4
1,Oscar Anderson,3247,5
1,Oscar Anderson,3553,3
1,Oscar Anderson,3863,4
1,Oscar Anderson,2613,5
1,Oscar Anderson,1081,4
1,Oscar Anderson,3168,5
1,Oscar Anderson,4157,3
1,Oscar Anderson,168,4
1,Oscar Anderson,544,4
1,Oscar Anderson,3379,5
